"Rank","Player","Pos","Team
"330","Taylor Hendricks","PF","UTA
                     UTA","19","2023","2026","4","$25,351,580","$6,337,895","Rookie"
"331","Taurean Prince","PF","BKN
                     BKN","25","2020","2021","2","$25,250,000","$12,625,000","Rookie Extension"
"T332","Dirk Nowitzki","PF","DAL
                     DAL","37","2016","2016","1","$25,000,000","$25,000,000",""
"T332","C.J. Miles","SF","IND
                     IND","29","2017","2019","3","$25,000,000","$8,333,333",""
"T332","Trevor Ariza","SF","SAC
                     SAC","33","2019","2020","2","$25,000,000","$12,500,000","Free Agent"
"T332","James Posey","PF","NOH
                     NOH","2,007","2008","2011","4","$25,000,000","$6,250,000",""
"T332","Dirk Nowitzki","PF","DAL
                     DAL","35","2014","2016","3","$25,000,000","$8,333,333",""
"337","Jonathan Kuminga","PF","GSW
                     GSW","18","2021","2024","4","$24,855,347","$6,213,837","Rookie"
"338","Andrew Wiggins","SF","CLE
                     CLE","18","2014","2017","4","$24,850,243","$6,212,561","Rookie"
"339","Kelly Oubre Jr.","SF","CHA
                     CHA","25","2021","2022","2","$24,600,000","$12,300,000","Free Agent"
"340","Toni Kukoc","SF","CHI
                     CHI","25","1994","1999","6","$24,450,000","$4,075,000","Free Agent"
"341","Kurt Thomas","PF","NYK
                     NYK","27","2000","2004","4","$24,275,750","$6,068,938",""
"342","Jared Jeffries","PF","NYK
                     NYK","24","2006","2010","5","$24,197,200","$4,839,440",""
"343","Al Harrington","PF","IND
                     IND","21","2002","2005","4","$24,035,000","$6,008,750","Rookie Extension"
"T344","Eduardo Najera","PF","DAL
                     DAL","25","2002","2007","6","$24,000,000","$4,000,000",""
"T344","Kris Humphries","PF","BKN
                     BKN","26","2012","2013","2","$24,000,000","$12,000,000",""
"T344","Juwan Howard","PF","WAS
                     WAS","20","1994","1999","6","$24,000,000","$4,000,000","Rookie"
"T344","Zach Randolph","PF","SAC
                     SAC","35","2017","2018","2","$24,000,000","$12,000,000",""
"T344","Jason Kapono","SF","TOR
                     TOR","25","2007","2010","4","$24,000,000","$6,000,000",""
"T344","Caron Butler","SF","LAC
                     LAC","30","2011","2013","3","$24,000,000","$8,000,000",""
"T344","Robert Covington","PF","LAC
                     LAC","31","2022","2023","2","$24,000,000","$12,000,000","Veteran Extension"
"351","Matas Buzelis","SF","CHI
                     CHI","19","2024","2027","4","$23,950,723","$5,987,681","Rookie"
"352","Brandon Ingram","SF","LAL
                     LAL","18","2016","2019","4","$23,823,685","$5,955,921","Rookie"
"353","Drew Gooden","PF","CLE
                     CLE","24","2006","2008","3","$23,250,001","$7,750,000",""
"354","Jeremy Sochan","PF","SAS
                     SAS","19","2022","2025","4","$23,046,751","$5,761,688","Rookie"
"T355","Reggie Evans","PF","DEN
                     DEN","25","2006","2010","5","$23,000,000","$4,600,000",""
"T355","Darrell Arthur","PF","DEN
                     DEN","27","2016","2018","3","$23,000,000","$7,666,667",""
"357","Franz Wagner","SF","ORL
                     ORL","19","2021","2024","4","$22,781,932","$5,695,483","Rookie"
"T358","Spencer Hawes","PF","LAC
                     LAC","25","2014","2017","4","$22,652,350","$5,663,088",""
"T358","Josh McRoberts","PF","MIA
                     MIA","26","2014","2017","4","$22,652,350","$5,663,088",""
"360","James Posey","PF","MEM
                     MEM","2,002","2003","2006","4","$22,618,200","$5,654,550",""
"361","Nicolas Batum","SF","LAC
                     LAC","33","2022","2023","2","$22,554,168","$11,277,084","Free Agent"
"362","Antonio McDyess","PF","DET
                     DET","29","2004","2007","4","$22,553,800","$5,638,450",""
"363","Kurt Thomas","PF","NYK
                     NYK","32","2005","2007","3","$22,532,732","$7,510,911","Extension"
"364","Chuck Hayes","PF","SAC
                     SAC","27","2011","2014","4","$22,417,500","$5,604,375",""
"365","Jonathan Isaac","PF","ORL
                     ORL","19","2017","2020","4","$22,324,406","$5,581,102","Rookie"
"366","Jabari Parker","PF","MIL
                     MIL","18","2014","2016","3","$22,239,712","$7,413,237","Rookie"
"367","Obi Toppin","PF","NYK
                     NYK","22","2020","2023","4","$22,118,492","$5,529,623","Rookie"
"T368","Doug McDermott","SF","IND
                     IND","25","2018","2020","3","$22,000,000","$7,333,333",""
"T368","Joe Ingles","SF","ORL
                     ORL","35","2023","2024","2","$22,000,000","$11,000,000","Free Agent"
"370","Martell Webster","SF","WAS
                     WAS","26","2013","2016","4","$21,990,500","$5,497,625",""
"371","Larry Nance Jr.","PF","NOP
                     NOP","29","2023","2024","2","$21,580,000","$10,790,000","Veteran Extension"
"372","Evan Turner","SF","PHI
                     PHI","21","2010","2013","4","$21,523,507","$5,380,877","Rookie"
"373","Jaylen Brown","SF","BOS
                     BOS","19","2016","2019","4","$21,404,269","$5,351,067","Rookie"
"374","Jared Dudley","SF","PHX
                     PHX","25","2011","2015","5","$21,250,000","$4,250,000","Rookie Extension"
"375","Mickael Pietrus","SF","ORL
                     ORL","25","2008","2011","4","$21,200,000","$5,300,000",""
"376","Ousmane Dieng","SF","OKC
                     OKC","19","2022","2025","4","$21,066,202","$5,266,551","Rookie"
"377","Juancho Hernangomez","PF","MIN
                     MIN","25","2020","2022","3","$21,037,320","$7,012,440","Free Agent"
"378","Darko Milicic","PF","MEM
                     MEM","21","2007","2009","3","$21,020,000","$7,006,667",""
"T379","Ersan Ilyasova","PF","MIL
                     MIL","30","2018","2020","3","$21,000,000","$7,000,000",""
"T379","Josh Childress","SF","PHX
                     PHX","28","2012","2014","3","$21,000,000","$7,000,000","amnesty"
"T379","Bojan Bogdanovic","SF","IND
                     IND","27","2017","2018","2","$21,000,000","$10,500,000",""
"382","Rodney Hood","SF","POR
                     POR","28","2020","2021","2","$20,898,696","$10,449,348","Free Agent"
"383","Michael Kidd-Gilchrist","SF","CHA
                     CHA","18","2012","2015","4","$20,760,923","$5,190,231","Rookie"
"384","DeMarre Carroll","SF","BKN
                     BKN","32","2019","2021","3","$20,650,000","$6,883,333","Free Agent"
"385","Jae’Sean Tate","SF","HOU
                     HOU","26","2022","2024","3","$20,630,434","$6,876,811","Free Agent"
"386","Nemanja Bjelica","PF","SAC
                     SAC","29","2018","2020","3","$20,475,000","$6,825,000",""
"387","Caleb Martin","SF","MIA
                     MIA","26","2022","2024","3","$20,408,850","$6,802,950","Free Agent"
"388","Lauri Markkanen","PF","CHI
                     CHI","19","2017","2020","4","$20,389,668","$5,097,417","Rookie"
"T389","Rui Hachimura","PF","WAS
                     WAS","20","2019","2022","4","$20,341,348","$5,085,337","Rookie"
"T389","Deni Avdija","SF","WAS
                     WAS","19","2020","2023","4","$20,341,348","$5,085,337","Rookie"
"391","Udonis Haslem","PF","MIA
                     MIA","29","2010","2013","5","$20,300,000","$4,060,000",""
"392","Jalen Williams","SF","OKC
                     OKC","21","2022","2025","4","$20,256,917","$5,064,229","Rookie"
"393","Michael Beasley","SF","MIN
                     MIN","18","2008","2011","4","$20,178,147","$5,044,537","Rookie"
"394","Martell Webster","SF","MIN
                     MIN","22","2009","2011","4","$20,121,000","$5,030,250","Rookie Extension"
"T395","Marcus Morris Sr.","SF","PHX
                     PHX","25","2015","2018","4","$20,000,000","$5,000,000","Rookie Extension"
"T395","Jonathon Simmons","SF","ORL
                     ORL","27","2017","2019","3","$20,000,000","$6,666,667",""
"T395","Danny Green","SF","PHI
                     PHI","34","2021","2022","2","$20,000,000","$10,000,000","Free Agent"
"T395","Jason Maxiell","PF","DET
                     DET","25","2009","2012","4","$20,000,000","$5,000,000","Extension"
"T395","David West","PF","IND
                     IND","30","2011","2012","2","$20,000,000","$10,000,000",""
"T395","Zach Randolph","PF","MEM
                     MEM","33","2015","2016","2","$20,000,000","$10,000,000","Veteran Extension"
"T395","Jabari Parker","PF","CHI
                     CHI","22","2018","2018","1","$20,000,000","$20,000,000",""
"402","Andrei Kirilenko","SF","MIN
                     MIN","30","2012","2013","2","$19,998,769","$9,999,385",""
"403","Sasha Vezenkov","SF","SAC
                     SAC","27","2023","2025","3","$19,975,609","$6,658,536","Free Agent"
"404","Ziaire Williams","SF","MEM
                     MEM","19","2021","2024","4","$19,907,925","$4,976,981","Rookie"
"405","Luol Deng","SF","MIA
                     MIA","28","2014","2015","2","$19,866,073","$9,933,037",""
"406","Kevin Durant","SF","SEA
                     SEA","18","2007","2010","4","$19,505,783","$4,876,446","Rookie"
"407","Chris Wilcox","PF","SEA
                     SEA","23","2006","2008","3","$19,500,000","$6,500,000",""
"408","Scottie Pippen","SF","CHI
                     CHI","25","1991","1997","7","$19,445,000","$2,777,857","Veteran Extension"
"409","Brandon Bass","PF","BOS
                     BOS","26","2012","2014","3","$19,350,000","$6,450,000",""
"T410","Cam Reddish","SF","ATL
                     ATL","19","2019","2022","4","$19,328,334","$4,832,084","Rookie"
"T410","Jalen Smith","PF","PHX
                     PHX","19","2020","2023","4","$19,328,334","$4,832,084","Rookie"
"412","Otto Porter Jr.","SF","WAS
                     WAS","19","2013","2016","4","$19,305,421","$4,826,355","Rookie"
"413","Dragan Bender","PF","PHX
                     PHX","18","2016","2019","4","$19,302,919","$4,825,730","Rookie"
"T414","Saddiq Bey","SF","WAS
                     WAS","25","2024","2026","3","$19,000,000","$6,333,333","Free Agent"
"T414","Paul Millsap","PF","ATL
                     ATL","27","2013","2014","2","$19,000,000","$9,500,000",""
"T414","Kyle Singler","SF","OKC
                     OKC","26","2015","2018","4","$19,000,000","$4,750,000",""
"417","Charles Barkley","PF","PHX
                     PHX","29","1993","1997","5","$18,985,000","$3,797,000","Veteran Extension"
"418","Derrick Jones Jr.","SF","POR
                     POR","23","2020","2021","2","$18,978,900","$9,489,450","Free Agent"
"419","Rasheed Wallace","PF","BOS
                     BOS","34","2009","2011","3","$18,966,960","$6,322,320",""
"420","LaMarcus Aldridge","PF","POR
                     POR","20","2006","2007","4","$18,832,907","$4,708,227","Rookie"
"421","Linas Kleiza","SF","TOR
                     TOR","24","2010","2013","4","$18,800,000","$4,700,000",""
"422","LeBron James","PF","CLE
                     CLE","18","2003","2006","4","$18,788,540","$4,697,135","Rookie"
"423","Luc Richard Mbah a Moute","PF","MIL
                     MIL","24","2011","2014","4","$18,765,152","$4,691,288",""
"424","Landry Fields","SF","TOR
                     TOR","23","2012","2014","3","$18,750,000","$6,250,000",""
"425","Ochai Agbaji","SF","CLE
                     CLE","22","2022","2025","4","$18,726,365","$4,681,591","Rookie"
"426","Kristaps Porzingis","PF","NYK
                     NYK","19","2015","2018","4","$18,650,094","$4,662,524","Rookie"
"427","Cameron Johnson","SF","PHX
                     PHX","22","2019","2022","4","$18,593,499","$4,648,375","Rookie"
"428","Kevin Knox","SF","NYK
                     NYK","18","2018","2021","4","$18,554,698","$4,638,675","Rookie"
"429","Rudy Gay","PF","UTA
                     UTA","34","2021","2023","3","$18,553,500","$6,184,500","Free Agent"
"430","Dean Wade","PF","CLE
                     CLE","25","2023","2025","3","$18,500,000","$6,166,667","Veteran Extension"
"431","Dalton Knecht","SF","LAL
                     LAL","23","2024","2027","4","$18,483,220","$4,620,805","Rookie"
"432","Trevor Booker","PF","BKN
                     BKN","28","2016","2017","2","$18,375,000","$9,187,500",""
"433","Marvin Williams","PF","ATL
                     ATL","18","2005","2008","4","$18,160,543","$4,540,136","Rookie"
"434","Patrick Patterson","PF","TOR
                     TOR","24","2014","2016","3","$18,150,001","$6,050,000",""
"435","Tyrus Thomas","PF","CHA
                     CHA","26","2013","2014","2","$18,082,645","$9,041,323","amnesty"
"436","Aaron Gordon","PF","ORL
                     ORL","18","2014","2017","4","$18,019,460","$4,504,865","Rookie"
"T437","Hakim Warrick","PF","PHX
                     PHX","27","2010","2013","4","$18,000,000","$4,500,000",""
"T437","Jonas Jerebko","PF","DET
                     DET","23","2011","2014","4","$18,000,000","$4,500,000",""
"T437","Kyle Anderson","PF","MIN
                     MIN","28","2022","2023","2","$18,000,000","$9,000,000","Free Agent"
"T437","Michael Beasley","SF","PHX
                     PHX","22","2012","2014","3","$18,000,000","$6,000,000",""
"441","C.J. Miles","SF","IND
                     IND","26","2014","2017","4","$17,955,350","$4,488,838",""
"442","Karl Malone","PF","UTA
                     UTA","26","1990","1995","5","$17,805,800","$3,561,160","Rookie Extension"
"443","Julius Randle","PF","NOP
                     NOP","23","2018","2019","2","$17,714,050","$8,857,025",""
"444","Chris Duarte","SF","IND
                     IND","24","2021","2024","4","$17,704,528","$4,426,132","Rookie"
"445","Jerry Stackhouse","SF","BKN
                     BKN","30","2005","2006","2","$17,664,061","$8,832,031","Extension"
"446","Wesley Johnson","SF","LAC
                     LAC","28","2016","2018","3","$17,643,780","$5,881,260",""
"447","Mikal Bridges","SF","PHX
                     PHX","21","2018","2021","4","$17,630,685","$4,407,671","Rookie"
"448","Toni Kukoc","SF","CHI
                     CHI","24","1993","2000","8","$17,600,000","$2,200,000","Rookie"
"449","Tristan Da Silva","SF","ORL
                     ORL","23","2024","2027","4","$17,567,626","$4,391,907","Rookie"
"450","Rudy Gay","PF","SAS
                     SAS","30","2017","2018","2","$17,232,300","$8,616,150",""
"451","Luis Scola","PF","HOU
                     HOU","31","2012","2014","3","$17,173,866","$5,724,622","amnesty"
"452","Brandan Wright","PF","MEM
                     MEM","27","2015","2017","3","$17,129,640","$5,709,880",""
"453","A.J. Griffin","SF","ATL
                     ATL","18","2022","2025","4","$17,106,137","$4,276,534","Rookie"
"454","Alan Williams","PF","PHX
                     PHX","23","2017","2019","3","$17,000,000","$5,666,667",""
"455","Jaime Jaquez Jr.","SF","MIA
                     MIA","22","2023","2026","4","$16,997,141","$4,249,285","Rookie"
"456","Willie Green","SF","PHI
                     PHI","24","2006","2010","5","$16,940,000","$3,388,000",""
"457","Adam Morrison","SF","WAS
                     WAS","21","2006","2009","4","$16,920,989","$4,230,247","Rookie"
"458","Darko Milicic","PF","DET
                     DET","17","2003","2006","4","$16,815,062","$4,203,766","Rookie"
"459","Anthony Bennett","PF","CLE
                     CLE","19","2013","2015","3","$16,691,760","$5,563,920","Rookie"
"460","Antonio McDyess","PF","DEN
                     DEN","20","1995","1998","4","$16,634,640","$4,158,660","Rookie"
"461","Nikola Mirotic","PF","CHI
                     CHI","22","2014","2016","3","$16,631,175","$5,543,725","Rookie"
"462","Kenyon Martin","PF","NJN
                     NJN","22","2000","2004","4","$16,534,449","$4,133,612","Rookie"
"463","Aaron Nesmith","SF","BOS
                     BOS","21","2020","2023","4","$16,528,217","$4,132,054","Rookie"
"T464","P.J. Tucker","PF","PHX
                     PHX","28","2014","2016","3","$16,500,000","$5,500,000",""
"T464","Kevin Garnett","PF","MIN
                     MIN","38","2015","2016","2","$16,500,000","$8,250,000",""
"466","JaMychal Green","PF","DEN
                     DEN","31","2021","2022","2","$16,400,000","$8,200,000","Free Agent"
"467","Kelly Oubre Jr.","SF","PHI
                     PHI","28","2024","2025","2","$16,365,150","$8,182,575","Free Agent"
"468","Corey Kispert","SF","WAS
                     WAS","22","2021","2022","4","$16,364,408","$4,091,102","Rookie"
"469","Patrick Patterson","PF","OKC
                     OKC","27","2017","2019","3","$16,354,800","$5,451,600",""
"470","Miles Bridges","SF","CHA
                     CHA","19","2018","2021","4","$16,317,853","$4,079,463","Rookie"
"471","Tari Eason","PF","HOU
                     HOU","21","2022","2025","4","$16,257,246","$4,064,312","Rookie"
"472","JaMychal Green","PF","MEM
                     MEM","26","2017","2018","2","$16,200,000","$8,100,000",""
"473","J.J Hickson","PF","DEN
                     DEN","24","2013","2015","3","$16,145,250","$5,381,750",""
"474","Elton Brand","PF","PHI
                     PHI","32","2012","2012","1","$16,060,354","$16,060,354","amnesty"
"T475","Simone Fontecchio","SF","DET
                     DET","28","2024","2025","2","$16,000,000","$8,000,000","Free Agent"
"T475","Kenyon Martin Jr.","SF","PHI
                     PHI","23","2024","2025","2","$16,000,000","$8,000,000","Free Agent"
"T475","Brandon Bass","PF","ORL
                     ORL","23","2009","2011","4","$16,000,000","$4,000,000",""
"T475","Anthony Tolliver","PF","SAC
                     SAC","30","2016","2017","2","$16,000,000","$8,000,000",""
"T475","Travis Outlaw","SF","NJN
                     NJN","26","2011","2014","4","$16,000,000","$4,000,000","amnesty"
"T475","Thaddeus Young","PF","TOR
                     TOR","34","2022","2023","2","$16,000,000","$8,000,000","Veteran Extension"
"T475","Trey Lyles","PF","SAC
                     SAC","27","2023","2024","2","$16,000,000","$8,000,000","Free Agent"
"T475","Jeff Green","PF","HOU
                     HOU","36","2023","2024","2","$16,000,000","$8,000,000","Free Agent"
"483","Antonio McDyess","PF","SAS
                     SAS","34","2009","2011","3","$15,934,000","$5,311,333",""
"484","Karl Malone","PF","UTA
                     UTA","32","1996","1998","3","$15,917,578","$5,305,859","Veteran Extension"
"485","Sekou Doumbouya","SF","DET
                     DET","18","2019","2022","4","$15,887,971","$3,971,993","Rookie"
"486","Nenad Krstic","PF","OKC
                     OKC","2,007","2008","2010","3","$15,800,000","$5,266,667",""
"487","Elton Brand","PF","CHI
                     CHI","19","1999","2002","4","$15,783,136","$3,945,784","Rookie"
"488","Jason Smith","PF","WAS
                     WAS","29","2016","2018","3","$15,675,000","$5,225,000",""
"489","Keith Bogans","SF","BOS
                     BOS","32","2013","2015","3","$15,629,874","$5,209,958","sign-and-trade"
"490","Cam Whitmore","SF","HOU
                     HOU","18","2023","2026","4","$15,595,310","$3,898,828","Rookie"
"491","Tyrus Thomas","PF","CHI
                     CHI","19","2006","2009","4","$15,259,558","$3,814,890","Rookie"
"492","DaRon Holmes II","PF","DEN
                     DEN","21","2024","2027","4","$15,203,658","$3,800,915","Rookie"
"493","Noah Clowney","PF","BKN
                     BKN","18","2023","2026","4","$15,146,274","$3,786,569","Rookie"
"494","Jalen Smith","PF","IND
                     IND","22","2022","2024","3","$15,131,319","$5,043,773","Free Agent"
"495","Carmelo Anthony","PF","DEN
                     DEN","18","2003","2006","4","$15,108,241","$3,777,060","Rookie"
"496","Chuma Okeke","PF","ORL
                     ORL","22","2020","2023","4","$15,098,193","$3,774,548","Rookie"
"497","Michael Porter Jr.","SF","DEN
                     DEN","19","2018","2021","4","$15,093,095","$3,773,274","Rookie"
"498","Steve Novak","SF","NYK
                     NYK","28","2012","2015","4","$15,000,002","$3,750,001",""
"T499","Chase Budinger","SF","MIN
                     MIN","24","2013","2015","3","$15,000,000","$5,000,000",""
"T499","Trevor Ariza","SF","PHX
                     PHX","32","2018","2018","1","$15,000,000","$15,000,000",""
